               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1096,            0.017476,             0.07677,           0.0026813,                0.05,           0.0014987,          0.00014987,             0.10212,            0.010389,            0.077256,              0.0001,              0.0001,              0.0991
                   1,              0.1093,            0.014876,            0.077342,             0.00369,                 0.1,            0.002593,           0.0005669,              0.1011,            0.010486,            0.076849,          0.00029859,          0.00029859,            0.097299
                   2,             0.10521,             0.02062,            0.078043,           0.0078548,                0.05,           0.0038609,           0.0010142,             0.09928,            0.010687,              0.0762,          0.00049529,          0.00049529,            0.095495
                   3,             0.10419,            0.017561,            0.078386,            0.011042,                 0.1,           0.0051589,           0.0010452,            0.096946,            0.010952,            0.075209,           0.0006901,           0.0006901,             0.09369
                   4,             0.10381,            0.014944,            0.080173,            0.010766,                 0.1,           0.0063247,           0.0012012,            0.093557,            0.011446,              0.0739,          0.00088303,          0.00088303,            0.091883
                   5,             0.10198,            0.015764,            0.069993,           0.0063318,                0.05,           0.0042893,           0.0010337,            0.089248,               0.012,            0.072446,           0.0010741,           0.0010741,            0.090074
                   6,             0.10063,            0.019144,            0.070998,           0.0061576,                0.25,           0.0049413,           0.0013116,            0.086183,            0.012483,            0.070818,           0.0012632,           0.0012632,            0.088263
                   7,            0.089412,            0.022084,            0.068397,           0.0056818,                0.25,           0.0049701,           0.0013381,            0.084491,            0.012835,            0.068674,           0.0014505,           0.0014505,             0.08645
                   8,            0.084845,             0.01849,            0.070203,            0.022957,                0.05,           0.0068089,           0.0012803,            0.079709,            0.013272,            0.067536,           0.0016359,           0.0016359,            0.084636
                   9,            0.087891,            0.022627,            0.066618,            0.049467,                0.05,           0.0088042,           0.0013591,            0.078532,            0.013358,            0.066393,           0.0018194,           0.0018194,            0.082819
                  10,            0.073814,            0.015313,            0.057036,             0.16614,                0.05,            0.036865,           0.0041891,            0.074449,            0.013925,             0.06608,            0.002001,            0.002001,            0.081001
                  11,            0.081521,             0.02262,            0.065788,            0.070884,                 0.1,            0.034431,           0.0048161,             0.07194,            0.014285,            0.064969,           0.0021807,           0.0021807,            0.079181
                  12,            0.078317,            0.019459,            0.062722,            0.047533,                0.25,            0.039416,           0.0070298,            0.070999,            0.014111,            0.063333,           0.0023586,           0.0023586,            0.077359
                  13,            0.080007,            0.021118,              0.0572,            0.096058,                0.15,             0.05751,            0.012608,            0.072593,            0.013656,            0.059518,           0.0025345,           0.0025345,            0.075535
                  14,            0.082848,            0.019372,            0.057466,             0.11398,                0.15,            0.054504,            0.012946,            0.072763,            0.013639,            0.056192,           0.0027086,           0.0027086,            0.073709
                  15,            0.065246,             0.01858,            0.047286,             0.11339,                 0.2,             0.10484,            0.015089,            0.072522,            0.013744,            0.053045,           0.0028808,           0.0028808,            0.071881
                  16,            0.078035,            0.026249,            0.053066,             0.12772,                 0.1,            0.055771,            0.012063,            0.071307,            0.013829,            0.050033,           0.0030511,           0.0030511,            0.070051
                  17,            0.073917,            0.023505,            0.049432,            0.043136,                0.55,            0.049487,             0.01296,            0.067381,            0.013763,            0.047151,           0.0032195,           0.0032195,             0.06822
                  18,            0.077635,            0.024269,            0.048417,            0.065351,                0.65,            0.069865,            0.016164,            0.060937,            0.014111,            0.044024,            0.003386,            0.003386,            0.066386
                  19,            0.066506,            0.020394,            0.045147,             0.07019,             0.47109,            0.071631,            0.013163,            0.058912,            0.014277,            0.041074,           0.0035507,           0.0035507,            0.064551
                  20,             0.07681,            0.021257,            0.044285,             0.10891,             0.38396,             0.11291,            0.037347,            0.059889,            0.014154,            0.039412,           0.0037134,           0.0037134,            0.062713
                  21,            0.069983,            0.022813,            0.044232,             0.14421,                 0.4,             0.12759,            0.040469,            0.061081,            0.013483,            0.037562,           0.0038743,           0.0038743,            0.060874
                  22,            0.070596,            0.025513,            0.041556,             0.17726,                 0.4,             0.13306,            0.039891,            0.062466,             0.01272,            0.035914,           0.0040333,           0.0040333,            0.059033
                  23,            0.070514,            0.022075,            0.041611,             0.19171,                0.65,              0.1655,            0.031293,             0.06454,            0.012418,            0.034165,           0.0041904,           0.0041904,             0.05719
                  24,            0.064246,            0.023362,            0.038352,             0.15157,                0.65,             0.13429,            0.029587,            0.061788,            0.011945,            0.033075,           0.0043456,           0.0043456,            0.055346
                  25,            0.065275,            0.019573,            0.035526,             0.30598,                 0.6,             0.26549,            0.074108,            0.062269,            0.012356,            0.032544,           0.0044989,           0.0044989,            0.053499
                  26,            0.068017,            0.016516,            0.041005,              0.2008,                0.55,              0.1798,            0.044008,            0.063746,            0.012178,            0.031527,           0.0046504,           0.0046504,             0.05165
                  27,             0.07047,            0.016579,            0.040049,              0.2008,                0.55,              0.1798,            0.044008,            0.063746,            0.012178,            0.031527,           0.0047999,           0.0047999,              0.0498
                  28,            0.070569,            0.020266,            0.034738,             0.18782,                 0.4,             0.19477,            0.055433,            0.058273,            0.012804,            0.031034,           0.0049476,           0.0049476,            0.047948
                  29,            0.066819,            0.021186,            0.032436,             0.33677,                 0.6,              0.3549,             0.10791,               0.058,            0.012758,             0.03072,           0.0050934,           0.0050934,            0.046093
                  30,            0.066398,            0.018249,            0.032337,             0.33677,                 0.6,              0.3549,             0.10791,               0.058,            0.012758,             0.03072,           0.0052373,           0.0052373,            0.044237
                  31,            0.066462,            0.021397,            0.033735,             0.31529,                 0.5,             0.30803,             0.12973,            0.052278,            0.013744,            0.030465,           0.0053793,           0.0053793,            0.042379
                  32,            0.061926,            0.016152,            0.032702,             0.44769,                0.15,             0.15581,            0.034195,            0.072415,            0.013193,            0.030378,           0.0055194,           0.0055194,            0.040519
                  33,             0.06249,            0.016655,            0.026951,             0.44769,                0.15,             0.15581,            0.034195,            0.072415,            0.013193,            0.030378,           0.0056577,           0.0056577,            0.038658
                  34,            0.074999,             0.02264,            0.031169,             0.33058,             0.54659,             0.37958,             0.10017,            0.059836,            0.014126,            0.029551,            0.005794,            0.005794,            0.036794
                  35,            0.063443,            0.018908,            0.032278,             0.42602,             0.59891,             0.46006,             0.19096,            0.066883,            0.013592,            0.028281,           0.0059285,           0.0059285,            0.034929
                  36,             0.07157,            0.018691,            0.027013,             0.42602,             0.59891,             0.46006,             0.19096,            0.066883,            0.013592,            0.028281,           0.0060611,           0.0060611,            0.033061
                  37,            0.067234,            0.023182,            0.028607,             0.62836,                0.45,             0.43985,             0.17695,            0.057271,             0.01407,            0.027034,           0.0061918,           0.0061918,            0.031192
                  38,               0.065,            0.022348,            0.028379,             0.46989,                 0.5,             0.44945,             0.16018,            0.059825,            0.013321,            0.025636,           0.0063206,           0.0063206,            0.029321
                  39,            0.071494,            0.016761,            0.026943,             0.46989,                 0.5,             0.44945,             0.16018,            0.059825,            0.013321,            0.025636,           0.0064475,           0.0064475,            0.027448
                  40,            0.064197,            0.014679,            0.025054,             0.68506,             0.54897,             0.63725,             0.19595,            0.056943,            0.013428,            0.024346,           0.0065726,           0.0065726,            0.025573
                  41,            0.061764,            0.018741,            0.023696,             0.44943,             0.44985,             0.31836,            0.079606,            0.070448,            0.012587,             0.02178,           0.0066957,           0.0066957,            0.023696
